Years,Total_Population,Male,Female
1960,6788214,3374296,3413918
1961,7000633,3482428,3524205
1962,7240174,3598125,3642049
1963,7487429,3720715,3766714
1964,7764198,3849129,3897069
1965,8014401,3982365,4032036
1966,8292776,4120786,4171990
1967,8580676,4264052,4316624
1968,8872920,4409584,4463336
1969,9162833,4554031,4608802
1970,9446064,4695217,4750847
1971,9720399,4832025,4888374
1972,9988380,4965714,5022666
1973,10256429,5099477,5156952
1974,10533716,5237867,5295849
1975,10827147,5384307,5442840
1976,11139833,5540301,5599532
1977,11470867,5705378,5765489
1978,11818307,5878600,5939707
1979,12178544,6058220,6120324
1980,12549540,6243235,6306305
1981,12930209,6433119,6497090
1982,13323332,6629152,6694180
1983,13735271,6834274,6900997
1984,14174470,7052418,7122052
1985,14646624,7286182,7360442
1986,15154521,7536952,7617567
1987,15695411,7803387,7892024
1988,16262533,8082041,8180492
1989,16846090,8367927,8478161
1990,17438907,8657463,8781444
1991,18040438,8950365,9090073
1992,18652889,9247883,9405006
1993,19275422,9550018,9725404
1994,19907634,9857101,10050533
1995,20550291,10169958,10380333
1996,21202118,10488107,10714011
1997,21865931,10813008,11052932
1998,22551789,11149808,11401981
1999,23272995,11505250,11767745
2000,24039300,11884265,12155009
2001,24854892,12288992,12565900
2002,25718048,12718547,12999501
2003,26624820,13171110,13453710
2004,27568436,13643416,13925020
2005,28543940,14133036,14410906
2006,29550662,14639704,14910958
2007,30590487,15164165,15426322
2008,31663896,15706009,15957887
2009,32771895,16264901,16506994
2010,33915133,16840537,17074596
2011,35093648,17432690,17660958
2012,36306796,18041164,18265632
2013,37553726,18665686,18888040
2014,38833338,19306040,19529298
2015,40144870,19962087,20182783
2016,41487965,20633652,20854313
2017,42862958,21320842,21542116
